,left_side,right_side,similairity
473,2723 E. OKLAHOMA PL.,2723 EAST OKLAHOMA PLACE,0.8350732301041818
546,105 EAST NEWTON ST,105 EAST NEWTON STREET,0.9476668423581319
587,N MAIN ST RESIDENTIAL DISTRICT,NORTH MAIN STREET RESIDENTIAL DISTRICT,0.830191352015334
629,N MAIN ST RESIDENTIAL DISTRICT,NORTH MAIN STREET RESIDENTIAL DISTRICT,0.830191352015334
687,N MAIN ST RESIDENTIAL DISTRICT,NORTH MAIN STREET RESIDENTIAL DISTRICT,0.830191352015334
703,N MAIN ST RESIDENTIAL DISTRICT,NORTH MAIN STREET RESIDENTIAL DISTRICT,0.830191352015334
811,540 E. READING ST.,540 E. READING,0.9100766135288909
875,STRUCTURE 15,STRUCTURE 1,0.9338769068472076
876,STRUCTURE 15,STRUCTURE 12,0.8793136359486651
877,STRUCTURE 15,STRUCTURE 18,0.8734002632299702
878,STRUCTURE 15,STRUCTURE 11,0.8734002632299702
879,STRUCTURE 15,STRUCTURE 16,0.8607301923893789
880,STRUCTURE 15,STRUCTURE 19,0.853789005153327
881,STRUCTURE 15,STRUCTURE 14,0.8487543731206229
882,STRUCTURE 15,STRUCTURE 2,0.8004160129574224
884,STRUCTURE 16,STRUCTURE 1,0.9216741372213878
885,STRUCTURE 16,STRUCTURE 12,0.8678238329032629
886,STRUCTURE 16,STRUCTURE 18,0.8619877289600015
887,STRUCTURE 16,STRUCTURE 11,0.8619877289600015
888,STRUCTURE 16,STRUCTURE 15,0.8607301923893789
889,STRUCTURE 16,STRUCTURE 19,0.8426327269944446
890,STRUCTURE 16,STRUCTURE 14,0.8376638814207433
892,2723 EAST OKLAHOMA PLACE,2723 E. OKLAHOMA PL.,0.8350732301041818
894,BROKEN ARROW ELEMENTARY / CENTRAL JR. HIGH,BROKEN ARROW ELEMENTARY/CENTRAL JR. HIGH,0.876838245945738
901,540 E. READING,540 E. READING ST.,0.9100766135288909
959,RED FORK SURVEY AREA , RED FORK SURVEY AREA ,0.960865839166844
960,RED FORK SURVEY AREA ,RED FORK SURVEY AREA,0.8664984840765924
961,RED FORK SURVEY AREA ,RED FORK SURVEY AREA,0.8664984840765924
962,RED FORK SURVEY AREA ,RED FORK SURVEY AREA,0.8664984840765924
963,RED FORK SURVEY AREA ,RED FORK SURVEY AREA,0.8664984840765924
964,RED FORK SURVEY AREA ,RED FORK SURVEY AREA,0.8664984840765924
966,545 EAST MARSHALL STREET ,545 EAST MARSHALL STREET,0.9780418121320014
967,545 EAST MARSHALL STREET ,1515 EAST MARSHALL STREET,0.8051600846147046
969,BROKEN ARROW ELEMENTARY/CENTRAL JR. HIGH,BROKEN ARROW ELEMENTARY / CENTRAL JR. HIGH,0.876838245945738
996,RIVERVIEW INTENSIVE LEVEL SURVEY,RIVERVIEW INTENSIVE LEVEL SURVEY ,0.9908824482663855
997,RIVERVIEW INTENSIVE LEVEL SURVEY,RIVERVIEW INTENSIVE LEVEL SURVEY ,0.9908824482663855
998,RIVERVIEW INTENSIVE LEVEL SURVEY,RIVERVIEW INTENSIVE LEVEL SURVEY AREA,0.956910779049259
1101,105 EAST NEWTON STREET,105 EAST NEWTON ST,0.9476668423581319
1153,411 S FIFTY-NINTH W AVE,431 S FIFTY-NINTH W AVE,0.8158390199997934
1154,411 S FIFTY-NINTH W AVE,921 S FIFTY-NINTH W AVE,0.8068793204833831
1157,411 S FIFTY-NINTH W AVE,431 S FIFTY-NINTH W AVE,0.8158390199997934
1158,411 S FIFTY-NINTH W AVE,921 S FIFTY-NINTH W AVE,0.8068793204833831
1161,813 S FIFTY-NINTH W AVE,823 S FIFTY-NINTH W AVE,0.8122651699103532
1162,813 S FIFTY-NINTH W AVE,423 S FIFTY-NINTH W AVE,0.8122651699103532
1163,813 S FIFTY-NINTH W AVE,923 S FIFTY-NINTH W AVE,0.8058668042014813
1164,813 S FIFTY-NINTH W AVE,403 S FIFTY-NINTH W AVE,0.801103231919516
1167,813 S FIFTY-NINTH W AVE,823 S FIFTY-NINTH W AVE,0.8122651699103532
1168,813 S FIFTY-NINTH W AVE,423 S FIFTY-NINTH W AVE,0.8122651699103532
1169,813 S FIFTY-NINTH W AVE,923 S FIFTY-NINTH W AVE,0.8058668042014813
1170,813 S FIFTY-NINTH W AVE,403 S FIFTY-NINTH W AVE,0.801103231919516
1176,524 S FIFTY-SEVENTH W AVE,1124 S FIFTY-SEVENTH W AVE,0.8674804497322202
1177,524 S FIFTY-SEVENTH W AVE,414 S FIFTY-SEVENTH W AVE,0.813039368524812
1178,524 S FIFTY-SEVENTH W AVE,504 S FIFTY-SEVENTH W AVE,0.8120345016054901
1179,524 S FIFTY-SEVENTH W AVE,534 S FIFTY-SEVENTH W AVE,0.8012985632609161
1198,1134 E. 48TH STREET NORTH,1134 E 48TH ST N,0.8708133398083069
1219,1029 NORTH QUINCY AVENUE,1029 NORTH QUINCY AVE,0.9579946113127139
1220,1029 NORTH QUINCY AVENUE,1029 N. QUINCY AVE.,0.800856330061656
1228,1134 E 48TH ST N,1134 E. 48TH STREET NORTH,0.8708133398083069
1231,33 NORTH LEWIS PLACE,63 NORTH LEWIS PLACE,0.899440609817268
1234,33 NORTH LEWIS PLACE,63 NORTH LEWIS PLACE,0.899440609817268
1527,COLEELA ABBOTT,COOLEELA ABBOTT,0.8887310878328463
1541,545 EAST MARSHALL STREET,545 EAST MARSHALL STREET ,0.9780418121320014
1542,545 EAST MARSHALL STREET,1515 EAST MARSHALL STREET,0.8232368745662948
1559,1029 NORTH QUINCY AVE,1029 NORTH QUINCY AVENUE,0.9579946113127139
1560,1029 NORTH QUINCY AVE,1029 N. QUINCY AVE.,0.8359716438950155
1596,COOLEELA ABBOTT,COLEELA ABBOTT,0.8887310878328463
1600,1708 NORTH ATLANTA AVENUE,1708 NORTH ATLANTA COURT,0.8116854058516547
1602,1708 NORTH ATLANTA COURT,1708 NORTH ATLANTA AVENUE,0.8116854058516547
1624,JOHN N. REESE JR U.S. ARMY RESERVE CENTER MAINTENANCE SHOP,JOHN N. REESE JR U.S. ARMY RESERVE CENTER,0.8372939812952902
1626,JOHN N. REESE JR U.S. ARMY RESERVE CENTER,JOHN N. REESE JR U.S. ARMY RESERVE CENTER MAINTENANCE SHOP,0.8372939812952902
1729, 1828 NORTH CINCINNATI AVENUE,2458 NORTH CINCINNATI AVENUE,0.8002873266212421
1743,1745 EAST LATIMER COURT,1741 EAST LATIMER COURT,0.8241754430676174
1762, 112 NORTH OLYMPIA AVENUE,117 NORTH OLYMPIA AVENUE,0.8005802341874189
1765, 120 NORTH MAYBELLE AVENUE, 122 NORTH MAYBELLE AVENUE,0.8206813805769962
1766, 120 NORTH MAYBELLE AVENUE, 126 NORTH MAYBELLE AVENUE,0.8101197589287633
1768, 122 NORTH MAYBELLE AVENUE, 120 NORTH MAYBELLE AVENUE,0.8206813805769962
1769, 122 NORTH MAYBELLE AVENUE, 126 NORTH MAYBELLE AVENUE,0.8078097937952565
1771, 126 NORTH MAYBELLE AVENUE, 120 NORTH MAYBELLE AVENUE,0.8101197589287633
1772, 126 NORTH MAYBELLE AVENUE, 122 NORTH MAYBELLE AVENUE,0.8078097937952565
1825, 215 NORTH 31ST WEST AVE, 5 NORTH 31ST WEST AVE,0.8299174934485629
1862, 416 S FIFTY-EIGHTH W AVE,416 S FIFTY-EIGHTH W AVE,0.9548937523102924
1870, 5 NORTH 31ST WEST AVE, 215 NORTH 31ST WEST AVE,0.8299174934485629
1874, 5037 W ADMIRAL BOULEVARD,5037 WEST ADMIRAL BOULEVARD,0.8916862545534485
1912,NORTH MAIN STREET RESIDENTIAL DISTRICT,N MAIN ST RESIDENTIAL DISTRICT,0.830191352015334
1913,NORTH MAIN STREET RESIDENTIAL DISTRICT,N MAIN ST RESIDENTIAL DISTRICT,0.830191352015334
1914,NORTH MAIN STREET RESIDENTIAL DISTRICT,N MAIN ST RESIDENTIAL DISTRICT,0.830191352015334
1915,NORTH MAIN STREET RESIDENTIAL DISTRICT,N MAIN ST RESIDENTIAL DISTRICT,0.830191352015334
1938,1012 NORTH DELAWARE PLACE,1012 N. DELAWARE PL.,0.8192004991037228
1943,1020 EAST INDEPENDENCE STREET,1030 EAST INDEPENDENCE STREET,0.8457865334561121
1944,1020 EAST INDEPENDENCE STREET,1619 EAST INDEPENDENCE STREET,0.821898216651919
1946,1023 EAST HASKELL PLACE,1027 EAST HASKELL PLACE,0.8059588194008174
1948,1027 EAST HASKELL PLACE,1023 EAST HASKELL PLACE,0.8059588194008174
1957,1030 EAST INDEPENDENCE STREET,1020 EAST INDEPENDENCE STREET,0.8457865334561121
1958,1030 EAST INDEPENDENCE STREET,1619 EAST INDEPENDENCE STREET,0.8176890607436569
1994,1106 S FIFTY-EIGHTH W AVE,406 S FIFTY-EIGHTH W AVE,0.844424429527937
