,left_side,right_side,similairity
747,DEEDS HOME/MARLIN FUNERAL HOME,MARLIN FUNERAL HOME,0.8067837908860263
889,MARLIN FUNERAL HOME,DEEDS HOME/MARLIN FUNERAL HOME,0.8067837908860263
980,545 EAST MARSHALL STREET ,545 EAST MARSHALL STREET,0.9777493955411318
981,545 EAST MARSHALL STREET ,1515 EAST MARSHALL STREET,0.819193106973058
1017,COMMERCIAL ,COMMERCIAL,0.938715645465088
1018,COMMERCIAL ,COMMERCIAL,0.938715645465088
1019,COMMERCIAL ,COMMERCIAL,0.938715645465088
1020,COMMERCIAL ,COMMERCIAL,0.938715645465088
1021,COMMERCIAL ,COMMERCIAL,0.938715645465088
1175,411 S FIFTY-NINTH W AVE,431 S FIFTY-NINTH W AVE,0.8163483540775146
1176,411 S FIFTY-NINTH W AVE,921 S FIFTY-NINTH W AVE,0.8049957058883274
1179,411 S FIFTY-NINTH W AVE,431 S FIFTY-NINTH W AVE,0.8163483540775146
1180,411 S FIFTY-NINTH W AVE,921 S FIFTY-NINTH W AVE,0.8049957058883274
1183,813 S FIFTY-NINTH W AVE,823 S FIFTY-NINTH W AVE,0.8124045242609284
1184,813 S FIFTY-NINTH W AVE,423 S FIFTY-NINTH W AVE,0.809775520914417
1185,813 S FIFTY-NINTH W AVE,923 S FIFTY-NINTH W AVE,0.806316746334682
1186,813 S FIFTY-NINTH W AVE,403 S FIFTY-NINTH W AVE,0.8033109291036651
1189,813 S FIFTY-NINTH W AVE,823 S FIFTY-NINTH W AVE,0.8124045242609284
1190,813 S FIFTY-NINTH W AVE,423 S FIFTY-NINTH W AVE,0.809775520914417
1191,813 S FIFTY-NINTH W AVE,923 S FIFTY-NINTH W AVE,0.806316746334682
1192,813 S FIFTY-NINTH W AVE,403 S FIFTY-NINTH W AVE,0.8033109291036651
1198,524 S FIFTY-SEVENTH W AVE,1124 S FIFTY-SEVENTH W AVE,0.8643561459405472
1199,524 S FIFTY-SEVENTH W AVE,504 S FIFTY-SEVENTH W AVE,0.8074482494426811
1200,524 S FIFTY-SEVENTH W AVE,414 S FIFTY-SEVENTH W AVE,0.8018637410125304
1581,COLEELA ABBOTT,COOLEELA ABBOTT,0.8900470152645846
1595,545 EAST MARSHALL STREET,545 EAST MARSHALL STREET ,0.9777493955411318
1596,545 EAST MARSHALL STREET,1515 EAST MARSHALL STREET,0.8378354522220679
1674,COOLEELA ABBOTT,COLEELA ABBOTT,0.8900470152645846
1696,1708 NORTH ATLANTA AVENUE,1708 NORTH ATLANTA COURT,0.813535191363085
1698,1708 NORTH ATLANTA COURT,1708 NORTH ATLANTA AVENUE,0.813535191363085
1720,JOHN N. REESE JR U.S. ARMY RESERVE CENTER MAINTENANCE SHOP,JOHN N. REESE JR U.S. ARMY RESERVE CENTER,0.8591466208373673
1722,JOHN N. REESE JR U.S. ARMY RESERVE CENTER,JOHN N. REESE JR U.S. ARMY RESERVE CENTER MAINTENANCE SHOP,0.8591466208373673
1848,  116 NORTH MAYBELLE AVENUE,  126 NORTH MAYBELLE AVENUE,0.810557098930161
1850,  120 NORTH MAYBELLE AVENUE,  122 NORTH MAYBELLE AVENUE,0.8328423770525943
1851,  120 NORTH MAYBELLE AVENUE,  126 NORTH MAYBELLE AVENUE,0.8252174967820273
1853,  122 NORTH MAYBELLE AVENUE,  120 NORTH MAYBELLE AVENUE,0.8328423770525943
1854,  122 NORTH MAYBELLE AVENUE,  126 NORTH MAYBELLE AVENUE,0.8204128258229992
1856,  126 NORTH MAYBELLE AVENUE,  120 NORTH MAYBELLE AVENUE,0.8252174967820273
1857,  126 NORTH MAYBELLE AVENUE,  122 NORTH MAYBELLE AVENUE,0.8204128258229992
1858,  126 NORTH MAYBELLE AVENUE,  116 NORTH MAYBELLE AVENUE,0.810557098930161
1911, 215 NORTH 31ST WEST AVE, 5 NORTH 31ST WEST AVE,0.8415008645025557
1948, 416 S FIFTY-EIGHTH W AVE,416 S FIFTY-EIGHTH W AVE,0.956109272667249
1956, 5 NORTH 31ST WEST AVE, 215 NORTH 31ST WEST AVE,0.8415008645025557
1960, 5037 W ADMIRAL BOULEVARD,5037 WEST ADMIRAL BOULEVARD,0.8929349190339853
2005,102 SOUTH ZUNIS AVENUE,6 SOUTH ZUNIS AVENUE,0.8635177011707155
2007,1020 EAST INDEPENDENCE STREET,1030 EAST INDEPENDENCE STREET,0.8449778601555221
